question_text,question_type,answer_type,starter,created_at,updated_at,question_id,is_deleted,question_text_ja,question_text_ko,question_text_zh_hans,question_text_zh_hant,question_text_es,question_text_fr,question_text_pt,question_text_ar,question_text_hi,question_text_de,question_text_it,question_text_id
I frequently make careless mistakes,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,2744,0,私は頻繁に不注意なミスをします,나는 자주 부주의한 실수를 합니다,我经常犯粗心的错误,我經常犯粗心的錯誤,Frecuentemente cometo errores por descuido,Je fais fréquemment des erreurs d'inattention,Frequentemente cometo erros por descuido,غالبًا ما أرتكب أخطاء بسبب الإهمال,मैं अक्सर लापरवाही से गलतियाँ करता हूँ,Ich mache häufig unachtsame Fehler,Commetto spesso errori per disattenzione,Saya terbuka dan mudah bergaul dengan orang baru
I prefer a structured and predictable life,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2745,0,私は構造化され予測可能な生活を好みます,나는 구조화되고 예측 가능한 삶을 선호합니다,我喜欢有结构和可预测的生活,我喜歡有結構和可預測的生活,Prefiero una vida estructurada y predecible,Je préfère une vie structurée et prévisible,Prefiro uma vida estruturada e previsível,أفضل الحياة المنظمة والمتوقعة,मैं एक संरचित और पूर्वानुमानित जीवन पसंद करता हूँ,Ich bevorzuge ein strukturiertes und vorhersehbares Leben,Preferisco una vita strutturata e prevedibile,Saya sangat memperhatikan setiap detail dalam pekerjaan saya
I value hands-on learning experiences,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,2746,0,私は実践的な学習経験を重視します,나는 실습 학습 경험을 중요하게 생각합니다,我重视实践性的学习经验,我重視實踐性的學習經驗,Valoro las experiencias de aprendizaje prácticas,J'accorde de l'importance aux expériences d'apprentissage pratiques,Valorizo experiências de aprendizado práticas,أُقدّر تجارب التعلم العملية,मैं व्यावहारिक सीखने के अनुभवों को महत्व देता हूँ,Ich schätze praktische Lernerfahrungen,Valorizzo le esperienze di apprendimento pratico,Saya fokus pada menyelesaikan tugas dengan akurat
I enjoy helping people resolve emotional conflicts,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,2747,0,私は人々が感情的な対立を解決するのを助けることを楽しみます,나는 사람들이 감정적인 갈등을 해결하도록 돕는 것을 즐깁니다,我喜欢帮助人们解决情感冲突,我喜歡幫助人們解決情感衝突,Disfruto ayudando a las personas a resolver conflictos emocionales,J'aime aider les gens à résoudre des conflits émotionnels,Gosto de ajudar as pessoas a resolver conflitos emocionais,أستمتع بمساعدة الناس على حل النزاعات العاطفية,मुझे लोगों को भावनात्मक संघर्षों को सुलझाने में मदद करना पसंद है,"Ich helfe gerne Menschen, emotionale Konflikte zu lösen",Mi piace aiutare le persone a risolvere conflitti emotivi,Saya mengambil inisiatif dalam percakapan kelompok
I keep track of my goals and progress,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,2748,0,私は自分の目標と進捗を記録しています,나는 내 목표와 진행 상황을 기록합니다,我记录我的目标和进展,我記錄我的目標和進展,Llevo un registro de mis objetivos y progresos,Je tiens un suivi de mes objectifs et de mes progrès,Mantenho o controle dos meus objetivos e progresso,أتابع أهدافي وتقدمي,मैं अपने लक्ष्यों और प्रगति का ट्रैक रखता हूँ,Ich behalte meine Ziele und Fortschritte im Blick,Tengo traccia dei miei obiettivi e dei miei progressi,Saya lebih suka pertemuan intim daripada kelompok besar
I feel confident guiding others toward a goal,,scale,false,2024-10-28 08:37:49.836251,2024-10-28 08:37:49.836251,2749,0,私は他人を目標に向かって導くことに自信があります,나는 다른 사람들을 목표로 이끄는 데 자신이 있습니다,我有信心引导他人朝着目标前进,我有信心引導他人朝著目標前進,Me siento seguro guiando a otros hacia una meta,Je me sens confiant pour guider les autres vers un objectif,Sinto-me confiante em guiar os outros em direção a um objetivo,أشعر بالثقة في توجيه الآخرين نحو هدف,मैं दूसरों को लक्ष्य की ओर मार्गदर्शन करने में आत्मविश्वास महसूस करता हूँ,"Ich fühle mich sicher dabei, andere zu einem Ziel zu führen",Mi sento sicuro nel guidare gli altri verso un obiettivo,Saya merasa tertekan jika saya tidak dapat memenuhi standar pribadi saya
I enjoy bringing positive energy to my groups,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2750,0,私は自分のグループにポジティブなエネルギーをもたらすことを楽しみます,나는 내 그룹에 긍정적인 에너지를 가져오는 것을 즐깁니다,我喜欢为我的团队带来积极的能量,我喜歡為我的團隊帶來積極的能量,Disfruto aportando energía positiva a mis grupos,J'aime apporter de l'énergie positive à mes groupes,Gosto de trazer energia positiva para meus grupos,أستمتع بجلب الطاقة الإيجابية إلى مجموعاتي,मैं अपने समूहों में सकारात्मक ऊर्जा लाने का आनंद लेता हूँ,Ich bringe gerne positive Energie in meine Gruppen,Mi piace portare energia positiva nei miei gruppi,Saya menikmati percakapan yang ramah
I am known for being understanding and empathetic,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2751,0,私は理解力と共感力があることで知られています,나는 이해심이 많고 공감하는 사람으로 알려져 있습니다,我以理解和同情著称,我以理解和同情著稱,Soy conocido por ser comprensivo y empático,Je suis connu pour être compréhensif et empathique,Sou conhecido por ser compreensivo e empático,أنا معروف بكوني متفهمًا ومتعاطفًا,मैं समझदार और सहानुभूतिपूर्ण होने के लिए जाना जाता हूँ,Ich bin bekannt für mein Verständnis und meine Empathie,Sono conosciuto per essere comprensivo ed empatico,Saya sering menempatkan kebutuhan orang lain di atas kebutuhan saya sendiri
I enjoy sharing my ideas with a wide audience,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2752,0,私は自分のアイデアを幅広い聴衆と共有することを楽しみます,나는 내 아이디어를 넓은 청중과 공유하는 것을 즐깁니다,我喜欢与广泛的观众分享我的想法,我喜歡與廣泛的觀眾分享我的想法,Disfruto compartiendo mis ideas con una amplia audiencia,J'aime partager mes idées avec un large public,Gosto de compartilhar minhas ideias com um público amplo,أستمتع بمشاركة أفكاري مع جمهور واسع,मैं अपनी विचारों को व्यापक दर्शकों के साथ साझा करने का आनंद लेता हूँ,Ich teile meine Ideen gerne mit einem breiten Publikum,Mi piace condividere le mie idee con un ampio pubblico,Saya percaya dalam bekerja bersama daripada melawan
I am confident in my ability to make tough decisions,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2753,0,私は難しい決断を下す自分の能力に自信があります,나는 어려운 결정을 내리는 내 능력에 자신이 있습니다,我对自己做出艰难决定的能力充满信心,我對自己做出艱難決定的能力充滿信心,Estoy seguro de mi capacidad para tomar decisiones difíciles,Je suis confiant dans ma capacité à prendre des décisions difficiles,Estou confiante na minha capacidade de tomar decisões difíceis,أنا واثق من قدرتي على اتخاذ قرارات صعبة,मैं कठिन निर्णय लेने की अपनी क्षमता में आत्मविश्वास रखता हूँ,"Ich bin zuversichtlich, schwierige Entscheidungen treffen zu können",Sono sicuro della mia capacità di prendere decisioni difficili,Saya menikmati menjadi orang yang diandalkan orang lain untuk dukungan
I feel uncomfortable when I make mistakes,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2754,0,私は間違いをすると不快に感じます,나는 실수를 하면 불편함을 느낍니다,我犯错误时会感到不舒服,我犯錯時會感到不舒服,Me siento incómodo cuando cometo errores,Je me sens mal à l'aise quand je fais des erreurs,Sinto-me desconfortável quando cometo erros,أشعر بعدم الارتياح عندما أرتكب أخطاء,जब मैं गलती करता हूँ तो असहज महसूस करता हूँ,"Ich fühle mich unwohl, wenn ich Fehler mache",Mi sento a disagio quando commetto errori,Saya terbuka untuk belajar tentang gaya hidup yang berbeda
I avoid conflicts to maintain harmony,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2755,0,私は調和を保つために対立を避けます,나는 조화를 유지하기 위해 갈등을 피합니다,我为了保持和谐会避免冲突,我為了保持和諧會避免衝突,Evíto los conflictos para mantener la armonía,J'évite les conflits pour maintenir l'harmonie,Evito conflitos para manter a harmonia,أتجنب الصراعات للحفاظ على الانسجام,मैं तालमेल बनाए रखने के लिए टकराव से बचता हूँ,"Ich vermeide Konflikte, um Harmonie zu wahren",Evito i conflitti per mantenere l’armonia,Saya sering khawatir tentang masalah masa depan
I find details less important than overall concepts,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,2756,0,私は細部よりも全体の概念を重視します,나는 세부 사항보다 전체 개념을 더 중요하게 생각합니다,我认为整体概念比细节更重要,我認為整體概念比細節更重要,Considero que los conceptos generales son más importantes que los detalles,Je considère que les concepts généraux sont plus importants que les détails,Acho que os conceitos gerais são mais importantes que os detalhes,أجد أن المفاهيم العامة أهم من التفاصيل,मैं विवरणों की तुलना में समग्र अवधारणाओं को अधिक महत्वपूर्ण मानता हूँ,Details sind mir weniger wichtig als das Gesamtkonzept,Trovo i dettagli meno importanti dei concetti generali,Saya menghargai stabilitas jangka panjang dalam pekerjaan saya
I am motivated by clear and steady objectives,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2757,0,私は明確で安定した目標によって動機づけられます,나는 명확하고 꾸준한 목표에 의해 동기부여됩니다,我被清晰而稳定的目标所激励,我被清晰而穩定的目標所激勵,Me motivan los objetivos claros y constantes,Je suis motivé par des objectifs clairs et constants,Sou motivado por objetivos claros e constantes,أنا أتحفز من خلال الأهداف الواضحة والمستقرة,मैं स्पष्ट और स्थिर लक्ष्यों से प्रेरित होता हूँ,Ich werde durch klare und konstante Ziele motiviert,Sono motivato da obiettivi chiari e costanti,Saya sering merasa sakit hati ketika usaha saya tidak dihargai
I am able to maintain composure in tense moments,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,2758,0,私は緊張した場面でも冷静さを保てます,나는 긴장된 순간에도 침착함을 유지할 수 있습니다,我能在紧张时刻保持冷静,我能在緊張時刻保持冷靜,Soy capaz de mantener la compostura en momentos tensos,Je peux garder mon calme dans les moments tendus,Consigo manter a compostura em momentos tensos,أستطيع الحفاظ على رباطة جأشي في اللحظات المتوترة,मैं तनावपूर्ण क्षणों में भी संयम बनाए रख सकता हूँ,Ich kann in angespannten Momenten ruhig bleiben,Riesco a mantenere la calma nei momenti tesi,Saya sensitif terhadap kebutuhan emosional orang lain
I prefer completing tasks in a timely manner,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,2759,0,私は期限内にタスクを完了することを好みます,나는 정해진 시간 안에 작업을 완료하는 것을 선호합니다,我喜欢按时完成任务,我喜歡按時完成任務,Prefiero completar las tareas a tiempo,Je préfère terminer les tâches dans les délais,Prefiro concluir tarefas dentro do prazo,أفضل إكمال المهام في الوقت المناسب,मैं समय पर कार्य पूरे करना पसंद करता हूँ,"Ich bevorzuge es, Aufgaben pünktlich abzuschließen",Preferisco completare i compiti in modo puntuale,Saya lebih suka tugas konkret daripada diskusi teoretis
I am driven to take on leadership roles,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2760,0,私はリーダーシップの役割を担うことに意欲的です,나는 리더십 역할을 맡고자 하는 열망이 있습니다,我有承担领导角色的动力,我有承擔領導角色的動力,Estoy motivado para asumir roles de liderazgo,Je suis motivé à assumer des rôles de leadership,Sinto-me impulsionado a assumir funções de liderança,أنا مدفوع لتولي أدوار قيادية,मैं नेतृत्व की भूमिकाएं निभाने के लिए प्रेरित होता हूँ,"Ich bin motiviert, Führungsrollen zu übernehmen",Sono spinto ad assumere ruoli di leadership,Saya sering merasa gelisah ketika tidak ada kegembiraan
I am enthusiastic about new ideas and experiences,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2761,0,私は新しいアイデアや経験に熱意を持っています,나는 새로운 아이디어와 경험에 열정적입니다,我对新思想和新体验充满热情,我對新思想和新體驗充滿熱情,Estoy entusiasmado con nuevas ideas y experiencias,Je suis enthousiaste à l'idée de nouvelles idées et expériences,Estou entusiasmado com novas ideias e experiências,أنا متحمس للأفكار والتجارب الجديدة,मैं नए विचारों और अनुभवों के प्रति उत्साही हूँ,Ich bin begeistert von neuen Ideen und Erfahrungen,Sono entusiasta di nuove idee ed esperienze,Saya menikmati mencari petualangan baru
I am quick to introduce myself in unfamiliar settings,,scale,false,2024-10-28 08:37:49.836251,2024-10-28 08:37:49.836251,2762,0,私は知らない環境でもすぐに自己紹介できます,나는 낯선 환경에서도 빠르게 자신을 소개합니다,我在陌生环境中很快就能自我介绍,我在陌生環境中很快就能自我介紹,Soy rápido para presentarme en entornos desconocidos,Je me présente rapidement dans des environnements inconnus,Apresento-me rapidamente em ambientes desconhecidos,أقوم بتقديم نفسي بسرعة في البيئات غير المألوفة,मैं अपरिचित परिवेश में भी जल्दी से परिचय दे देता हूँ,Ich stelle mich schnell in unbekannten Situationen vor,Mi presento rapidamente in ambienti non familiari,Saya merasa nyaman mengekspresikan pendapat saya secara terbuka
I take deadlines seriously,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,2763,0,私は締め切りを真剣に受け止めています,나는 마감일을 진지하게 여깁니다,我认真对待截止日期,我認真對待截止日期,Tomo en serio las fechas límite,Je prends les délais au sérieux,Levo os prazos a sério,آخذ المواعيد النهائية على محمل الجد,मैं समय सीमा को गंभीरता से लेता हूँ,Ich nehme Fristen ernst,Prendo seriamente le scadenze,Saya merasa tidak nyaman dalam situasi bertekanan tinggi
I feel happiest when I am making a positive impact,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2764,0,私は前向きな影響を与えているときに最も幸せを感じます,나는 긍정적인 영향을 줄 때 가장 행복합니다,我在产生积极影响时感到最快乐,我在產生積極影響時感到最快樂,Me siento más feliz cuando genero un impacto positivo,Je suis le plus heureux lorsque j'ai un impact positif,Sinto-me mais feliz quando faço um impacto positivo,أشعر بالسعادة عندما أُحدث تأثيرًا إيجابيًا,मैं तब सबसे खुश होता हूँ जब मैं सकारात्मक प्रभाव डाल रहा होता हूँ,"Ich bin am glücklichsten, wenn ich einen positiven Einfluss habe",Mi sento più felice quando ho un impatto positivo,Saya lebih suka mempertimbangkan dampak pribadi dalam pilihan saya
I find it fulfilling to be there for others in need,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2765,0,困っている人のそばにいることに充実感を感じます,도움이 필요한 사람 곁에 있는 것이 보람차다고 느낍니다,我觉得在别人需要时陪伴他们很有意义,我覺得在別人需要時陪伴他們很有意義,Encuentro gratificante estar allí para los necesitados,Je trouve gratifiant d'être là pour ceux qui en ont besoin,Sinto-me realizado ao estar presente para quem precisa,أجد الرضا في الوقوف إلى جانب الآخرين عند الحاجة,मुझे ज़रूरतमंदों के साथ होना संतोषजनक लगता है,"Ich finde Erfüllung darin, für Bedürftige da zu sein",Trovo gratificante essere presente per chi ha bisogno,Saya sering memulai percakapan dalam kelompok
I rarely set personal goals,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,2766,0,私は個人的な目標をあまり立てません,나는 개인적인 목표를 거의 세우지 않습니다,我很少设定个人目标,我很少設定個人目標,Rara vez establezco metas personales,Je fixe rarement des objectifs personnels,Raramente estabeleço metas pessoais,نادراً ما أضع أهدافاً شخصية,मैं शायद ही कभी व्यक्तिगत लक्ष्य निर्धारित करता हूँ,Ich setze mir selten persönliche Ziele,Raramente fisso obiettivi personali,Saya merasa tidak nyaman dengan tugas yang kurang jelas
I often seek out group activities,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,2767,0,私はよくグループ活動を探します,나는 종종 그룹 활동을 찾습니다,我经常寻找集体活动,我經常尋找集體活動,A menudo busco actividades grupales,Je cherche souvent des activités de groupe,Costumo procurar atividades em grupo,غالبًا ما أبحث عن أنشطة جماعية,मैं अक्सर समूह गतिविधियों की तलाश करता हूँ,Ich suche oft nach Gruppenaktivitäten,Cerco spesso attività di gruppo,Saya merasa tertekan dengan kesalahan kecil
I prefer quiet settings to large gatherings,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,2768,0,私は大きな集まりより静かな環境を好みます,나는 큰 모임보다 조용한 환경을 선호합니다,我比起大型聚会更喜欢安静的环境,我比起大型聚會更喜歡安靜的環境,Prefiero ambientes tranquilos a reuniones grandes,Je préfère les environnements calmes aux grands rassemblements,Prefiro ambientes tranquilos a grandes reuniões,أفضل الأجواء الهادئة على التجمعات الكبيرة,मैं बड़े आयोजनों की तुलना में शांत माहौल पसंद करता हूँ,Ich bevorzuge ruhige Umgebungen gegenüber großen Versammlungen,Preferisco ambienti tranquilli a grandi raduni,Saya menikmati berpartisipasi dalam kegiatan kelompok
I am composed even in high-stress situations,,scale,false,2024-10-28 08:37:49.836251,2024-10-28 08:37:49.836251,2769,0,私は高ストレスな状況でも冷静でいられます,나는 고스트레스 상황에서도 침착합니다,即使在高压情况下我也很冷静,即使在高壓情況下我也很冷靜,Mantengo la compostura incluso en situaciones de mucho estrés,Je reste calme même dans des situations de stress élevé,Mantenho a calma mesmo em situações de alto estresse,أبقى هادئًا حتى في المواقف ذات الضغط العالي,मैं उच्च तनाव की स्थिति में भी शांत रहता हूँ,Ich bin auch in stressigen Situationen gefasst,Sono composto anche in situazioni ad alto stress,Saya merasa ditolak ketika orang tidak menerima bantuan saya
I often look beyond the present to envision future possibilities,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,2770,0,私は現在を超えて未来の可能性を想像することがよくあります,나는 현재를 넘어서 미래의 가능성을 자주 상상합니다,我经常超越现在想象未来的可能性,我經常超越現在想像未來的可能性,A menudo miro más allá del presente para imaginar posibilidades futuras,Je regarde souvent au-delà du présent pour envisager des possibilités futures,Frequentemente olho além do presente para imaginar possibilidades futuras,غالبًا ما أتجاوز الحاضر لتصور احتمالات المستقبل,मैं अक्सर वर्तमान से आगे देखता हूँ और भविष्य की संभावनाओं की कल्पना करता हूँ,Ich schaue oft über die Gegenwart hinaus und stelle mir mögliche Zukünfte vor,Guardo spesso oltre il presente per immaginare le possibilità future,Saya sering curiga dengan niat orang lain
I feel confident expressing my beliefs,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2771,0,私は自分の信念を表現することに自信があります,나는 내 신념을 표현하는 데 자신감이 있습니다,我有信心表达自己的信念,我有信心表達自己的信念,Me siento seguro al expresar mis creencias,J'ai confiance en exprimant mes convictions,Sinto-me confiante ao expressar minhas crenças,أشعر بالثقة في التعبير عن معتقداتي,मुझे अपनी मान्यताओं को व्यक्त करने में आत्मविश्वास है,Ich fühle mich sicher beim Ausdrücken meiner Überzeugungen,Mi sento sicuro nell’esprimere le mie convinzioni,Saya mendapatkan kegembiraan dari membuat orang merasa terlihat dan didukung
I believe in holding my ground when facing opposition,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2772,0,私は反対に直面しても自分の立場を守ることを信じています,나는 반대에 직면해도 내 입장을 고수하는 것을 믿습니다,我相信在面对反对时坚持立场,我相信在面對反對時堅持立場,Creo en mantener mi postura frente a la oposición,Je crois qu'il faut tenir bon face à l'opposition,Acredito em manter minha posição diante da oposição,أؤمن بالتمسك بموقفي عند مواجهة المعارضة,मैं विरोध का सामना करते हुए भी अपने विचारों पर कायम रहता हूँ,"Ich glaube daran, standhaft zu bleiben, wenn ich auf Widerstand stoße",Credo nel mantenere la mia posizione di fronte all’opposizione,Saya mendapatkan energi dari berada di sekitar orang lain
I feel comfortable speaking to large groups,,scale,false,2024-10-28 08:37:49.836251,2024-10-28 08:37:49.836251,2773,0,私は大人数の前で話すことに抵抗を感じません,나는 많은 사람들 앞에서 말하는 것이 편안합니다,我在大庭广众下讲话感到自在,我在大庭廣眾下講話感到自在,Me siento cómodo hablando ante grandes grupos,Je suis à l'aise pour parler devant de grands groupes,Sinto-me confortável ao falar com grandes grupos,أشعر بالراحة عند التحدث أمام مجموعات كبيرة,मैं बड़े समूहों से बात करने में सहज महसूस करता हूँ,Ich fühle mich wohl beim Sprechen vor großen Gruppen,Mi sento a mio agio a parlare a grandi gruppi,Saya berkomitmen untuk melakukan hal yang benar
I value reason over emotions in most situations,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,2774,0,私は多くの状況で感情より理性を重視します,나는 대부분의 상황에서 감정보다 이성을 중요시합니다,我在大多数情况下重视理性高于情感,我在大多數情況下重視理性高於情感,Valoro la razón más que la emoción en la mayoría de las situaciones,Je privilégie la raison aux émotions dans la plupart des situations,Valorizo a razão mais do que as emoções na maioria das situações,أُقدّر العقل على العاطفة في معظم الحالات,अधिकांश स्थितियों में मैं भावना के बजाय तर्क को महत्व देता हूँ,Ich schätze Vernunft mehr als Gefühle in den meisten Situationen,Valorizzo la ragione più delle emozioni nella maggior parte delle situazioni,Saya merasa energik dengan diskusi intelektual
I value kindness and understanding in my interactions,,scale,false,2024-10-28 08:37:49.836251,2024-10-28 08:37:49.836251,2775,0,私は人との関わりで親切さと理解を大切にします,나는 사람들과의 관계에서 친절과 이해를 중요시합니다,我在互动中重视善意和理解,我在互動中重視善意和理解,Valoro la amabilidad y la comprensión en mis interacciones,J'accorde de l'importance à la gentillesse et à la compréhension dans mes interactions,Valorizo a bondade e a compreensão nas minhas interações,أُقدّر اللطف والتفهّم في تفاعلاتي,मैं अपने संपर्क में दया और समझ को महत्व देता हूँ,Ich lege Wert auf Freundlichkeit und Verständnis in meinen Beziehungen,Valorizzo gentilezza e comprensione nelle mie interazioni,Saya sering merasa cemas di sekitar orang
I am driven to achieve ambitious goals,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2776,0,私は野心的な目標を達成することに意欲的です,나는 야심찬 목표를 달성하는 데 의욕적입니다,我渴望实现雄心勃勃的目标,我渴望實現雄心勃勃的目標,Estoy motivado para alcanzar metas ambiciosas,Je suis motivé à atteindre des objectifs ambitieux,Sou motivado a atingir metas ambiciosas,أنا مدفوع لتحقيق أهداف طموحة,मैं महत्त्वाकांक्षी लक्ष्यों को प्राप्त करने के लिए प्रेरित हूँ,"Ich bin motiviert, ehrgeizige Ziele zu erreichen",Sono spinto a raggiungere obiettivi ambiziosi,Saya merasa nyaman mempertimbangkan berbagai interpretasi situasi
I am comfortable with confrontation when necessary,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2777,0,必要なときには対立にも対応できます,필요할 때는 대립에도 편안하게 대응합니다,在必要时我能从容面对冲突,在必要時我能從容面對衝突,Me siento cómodo con la confrontación cuando es necesario,Je suis à l'aise avec la confrontation quand c'est nécessaire,Sinto-me confortável com o confronto quando necessário,أشعر بالارتياح عند المواجهة عندما يكون ذلك ضرورياً,जब आवश्यक हो तो मुझे टकराव में कोई असुविधा नहीं होती है,"Ich fühle mich wohl bei Konfrontationen, wenn sie nötig sind",Mi sento a mio agio con il confronto quando necessario,Saya didorong oleh rasa kebebasan dan kemungkinan
I like to brainstorm different outcomes,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,2778,0,私はさまざまな結果をブレインストーミングするのが好きです,나는 다양한 결과를 브레인스토밍하는 것을 좋아합니다,我喜欢头脑风暴不同的结果,我喜歡頭腦風暴不同的結果,Me gusta hacer lluvias de ideas sobre diferentes resultados,J'aime faire un remue-méninges sur différents résultats,Gosto de fazer brainstorming sobre diferentes resultados,أحب مناقشة النتائج المختلفة,मुझे विभिन्न परिणामों पर विचार करना पसंद है,Ich brainstorme gerne verschiedene Ergebnisse,Mi piace fare brainstorming su diversi risultati possibili,Saya mengandalkan metode yang terbukti daripada bereksperimen
I feel anxious when I am unprepared or uninformed,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2779,0,準備不足や情報がないと不安になります,준비가 부족하거나 정보가 없을 때 불안합니다,我在准备不足或信息不充分时会感到焦虑,我在準備不足或信息不充分時會感到焦慮,Me siento ansioso cuando no estoy preparado o informado,Je me sens anxieux quand je ne suis pas préparé ou informé,Sinto-me ansioso quando estou despreparado ou desinformado,أشعر بالقلق عندما أكون غير مستعد أو غير مطلع,जब मैं तैयार नहीं होता या जानकारी नहीं होती तो मैं चिंतित महसूस करता हूँ,"Ich fühle mich ängstlich, wenn ich unvorbereitet oder nicht informiert bin",Mi sento ansioso quando non sono preparato o informato,Saya menikmati menyesuaikan diri dengan lingkungan baru
I am thorough and organized in completing tasks,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2780,0,私はタスクを丁寧かつ整理して完了させます,나는 작업을 철저하고 체계적으로 완료합니다,我完成任务时很彻底且有条理,我完成任務時很徹底且有條理,Soy meticuloso y organizado al completar tareas,Je suis minutieux et organisé dans l'accomplissement des tâches,Sou minucioso e organizado ao concluir tarefas,أنا دقيق ومنظم في إكمال المهام,मैं कार्यों को सावधानीपूर्वक और संगठित रूप से पूरा करता हूँ,Ich bin gründlich und organisiert beim Erledigen von Aufgaben,Sono scrupoloso e organizzato nel completare i compiti,Saya menemukan ketenangan dalam kegiatan soliter
I try to see both sides of a conflict,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,2781,0,私は対立の両面を見るように努めます,나는 갈등의 양측을 보려고 노력합니다,我努力看到冲突的双方,我努力看到衝突的雙方,Intento ver ambos lados de un conflicto,J’essaie de voir les deux côtés d’un conflit,Tento ver os dois lados de um conflito,أحاول رؤية جانبي الصراع,मैं संघर्ष के दोनों पक्षों को देखने की कोशिश करता हूँ,"Ich versuche, beide Seiten eines Konflikts zu sehen",Cerco di vedere entrambi i lati di un conflitto,Saya berusaha untuk presisi dalam segala hal yang saya lakukan
I remain calm even in high-pressure situations,,scale,false,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,2782,0,私はプレッシャーの高い状況でも冷静でいられます,나는 압박감이 높은 상황에서도 침착합니다,即使在高压情况下我也保持冷静,即使在高壓情況下我也保持冷靜,Mantengo la calma incluso en situaciones de alta presión,Je reste calme même dans les situations sous pression,Mantenho a calma mesmo em situações de alta pressão,أظل هادئًا حتى في المواقف ذات الضغط العالي,मैं उच्च दबाव की स्थितियों में भी शांत रहता हूँ,Ich bleibe auch in Hochdrucksituationen ruhig,Resto calmo anche in situazioni ad alta pressione,Saya merasa cemas di lingkungan yang tidak teratur
I value a well-structured routine,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,2783,0,私はよく構造化されたルーチンを重視します,나는 잘 구조화된 일과를 중요하게 생각합니다,我重视结构良好的日常安排,我重視結構良好的日常安排,Valoro una rutina bien estructurada,Je valorise une routine bien structurée,Valorizo uma rotina bem estruturada,أُقدّر الروتين المنظم جيدًا,मैं एक अच्छी तरह से संरचित दिनचर्या को महत्व देता हूँ,Ich schätze eine gut strukturierte Routine,Valorizzo una routine ben strutturata,Saya lebih suka hasil yang nyata daripada diskusi teoretis
I often experience intense emotional highs and lows,,scale,false,2024-10-28 08:37:47.627817,2024-10-28 08:37:47.627817,2784,0,私は感情の高まりや落ち込みをよく経験します,나는 감정의 고조와 저하를 자주 경험합니다,我经常经历强烈的情绪起伏,我經常經歷強烈的情緒起伏,A menudo experimento intensos altibajos emocionales,Je vis souvent de fortes fluctuations émotionnelles,Frequentemente experimento altos e baixos emocionais intensos,غالبًا ما أختبر تقلبات عاطفية شديدة,मैं अक्सर तीव्र भावनात्मक उतार-चढ़ाव का अनुभव करता हूँ,Ich erlebe oft intensive emotionale Höhen und Tiefen,Provo spesso alti e bassi emotivi intensi,Saya sering berpikir dalam hal apa yang bisa terjadi
